Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
0,white bread,266,3.3,0.7,0.8,1.4,49,5,9,2.7,0,491,36,0,0.5,0.1,0,0.3,4.7,0.5,0.08,0,0,0.4,1,144,0.1,3.6,23,0.6,100,115,22,0.8,15.1
1,whole wheat bread,247,3.4,0.6,0.8,1.4,41,6,13,7,0,430,38,0,0.4,0.04,0,0.12,5.5,0.5,0.14,0,0,0.5,1.8,107,0.2,3.6,82,2.2,252,230,31,1.6,24.7
2,sourdough bread,289,2.9,0.5,0.7,1.2,56,0.7,11,2.2,0,512,33,0,0.3,0.03,0,0.15,3.8,0.4,0.09,0,0,0.3,1.2,89,0.1,2.9,35,0.5,110,120,28,1.1,17.8
3,rye bread,259,3.3,0.4,0.8,1.2,48,3.8,8.5,5.8,0,603,37,0,0.32,0.04,0,0.2,3.1,0.4,0.12,0,0,0.3,1.9,73,0.19,2.8,40,1.1,125,166,35,1.2,21.8
4,multigrain bread,265,4.2,0.7,1.0,1.8,43,5,11,6.5,0,450,36,0,0.35,0.05,0,0.14,4.5,0.6,0.15,0,0,0.6,2.2,95,0.2,3.5,74,1.7,220,250,30,1.8,24.2
5,bagel,250,1.5,0.3,0.4,0.6,49,6,10,2,0,443,37,0,0.5,0.07,0,0.25,4.9,0.4,0.1,0,0,0.2,0.8,103,0.1,4.5,28,0.5,95,98,21,0.9,15.7
6,croissant,406,21,12,6,1,45,11,8,2.6,67,364,23,0.1,0.08,0.03,0.2,0.21,2.5,0.8,0.06,0,0.5,1.4,2.1,37,0.1,2.7,18,0.3,105,92,15,0.8,11.4
7,brioche,374,13,7,4,1,55,8,8,2,109,300,25,0.12,0.2,0.04,0.3,0.3,2.9,0.7,0.09,0,0.6,1.1,1.7,52,0.1,3.1,20,0.3,130,110,17,1.0,13.2
8,english muffin,227,1.7,0.3,0.4,0.7,44,2.5,8,2.5,0,458,44,0,0.38,0.04,0,0.22,3.8,0.5,0.08,0,0,0.2,0.9,140,0.1,3.9,18,0.5,90,83,19,0.7,15.6
9,pita bread,275,1.2,0.2,0.2,0.5,55,1.1,9,2.2,0,536,32,0,0.27,0.03,0,0.1,2.8,0.3,0.06,0,0,0.2,0.5,86,0.1,2.6,26,0.4,97,120,18,0.8,16.1
10,banana bread,326,10,1.8,4.3,2.6,55,23,4.3,2.6,30,302,28,0.03,0.15,0.02,0.05,0.14,1.8,0.4,0.16,2.5,0,0.6,1.1,41,0.08,1.4,18,0.2,88,134,8,0.5,11.8
11,granola,471,20,3.4,8,7,64,24,10,8,0,12,5,0.002,0.4,0.05,0,0.3,4.2,1.2,0.4,1.2,0,2.1,5.8,76,0.4,3.2,120,2.5,300,410,8.5,2.6,24.9
12,muesli,340,4.7,0.8,1.2,1.9,66,16,11,8.5,0,12,10,0.002,0.4,0.05,0,0.2,3.8,0.9,0.2,2.1,0,1.2,3.2,90,0.5,4.2,110,2.3,280,390,10,2.5,27.4
13,corn flakes,357,0.4,0.1,0.1,0.2,84,8,7,3,0,729,3,0,1.2,0.15,0,1.3,16,0.1,1.7,0,0,0.1,0.5,2,0.1,28,17,0.1,43,53,19,0.1,14.7
14,quinoa,120,1.9,0.2,0.5,1,21,0.9,4.4,2.8,0,7,72,0.001,0.11,0.04,0,0.11,0.4,0.3,0.12,0,0,0.6,0,17,0.19,1.5,64,0.6,152,172,2.8,1.1,24.5
15,couscous,112,0.2,0,0,0.1,23,0.1,3.8,1.4,0,5,72,0,0.06,0.01,0,0.03,1.1,0.4,0.05,0,0,0.1,0,8,0.04,0.4,8,0.08,22,58,0.4,0.3,14.2
16,white rice,130,0.3,0.1,0.1,0.1,28,0.1,2.7,0.4,0,1,68,0,0.02,0.008,0,0.01,0.4,0.4,0.09,0,0,0.04,0.1,10,0.07,1.2,12,0.4,43,35,7.5,0.5,12.6
17,brown rice,123,1,0.2,0.3,0.4,25,0.4,2.7,1.8,0,4,70,0,0.1,0.02,0,0.02,1.6,0.5,0.15,0,0,0.1,0.6,10,0.11,0.6,39,1.1,83,86,5.8,0.8,19.7
18,spaghetti,158,0.9,0.2,0.1,0.3,31,0.6,5.8,1.8,0,1,62,0,0.02,0.01,0,0.02,1.3,0.4,0.08,0,0,0.1,0.1,7,0.08,1.3,18,0.4,58,44,26,0.5,16.7
19,whole wheat pasta,149,1.4,0.3,0.2,0.5,30,0.6,6.3,4.5,0,4,60,0,0.15,0.03,0,0.05,2.9,0.6,0.15,0,0,0.3,0.9,21,0.18,1.8,42,1.3,143,126,32,1.4,24.3
20,penne pasta,157,0.9,0.2,0.1,0.3,31,0.6,5.7,1.7,0,1,62,0,0.02,0.01,0,0.02,1.2,0.4,0.08,0,0,0.1,0.1,7,0.08,1.2,18,0.4,57,43,25,0.5,16.3
